ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
undefined,Undefined Language,,,,,,,
stan1293,English,,53.0,-1.0,stan1293,,283,5.645446897643238
ital1282,Italian,,43.0464,12.6489,ital1282,,196,5.278114659230517
pite1240,Pite Saami,,66.4011,17.4261,pite1240,,324,5.780743515792329
moha1256,Mohave,,34.8866,-114.599,moha1256,,25,3.2188758248682006
nias1242,Nias,,0.90691,97.4961,nias1242,,28,3.332204510175204
tenn1246,Tennet,,4.91107,32.6307,tenn1246,,17,2.833213344056216
murl1244,Murle,,6.69756,33.988,murl1244,,10,2.302585092994046
nand1266,Nandi,,0.793737,35.408478,nand1266,,12,2.4849066497880004
dato1239,Barabayiiga-Gisamjanga,,-4.4131,35.2321,dato1239,,8,2.0794415416798357
turk1308,Turkana,,4.30688,35.7101,turk1308,,27,3.295836866004329
maaa1253,Maa,,11.5205,107.339,maaa1253,,14,2.6390573296152584
east2652,Eastern Oromo,,8.67428,41.4395,east2652,,15,2.70805020110221
alab1254,Alaba-K'abeena,,7.39014,38.1732,alab1254,,16,2.772588722239781
arbo1245,Arbore,,4.92183,36.7986,arbo1245,,12,2.4849066497880004
bora1271,Borana-Arsi-Guji Oromo,,1.05676,37.882,bora1271,,12,2.4849066497880004
gamo1243,Gamo,,6.27645,37.23808,gamo1243,,13,2.5649493574615367
wola1242,Wolaytta,,6.32668,37.7537,wola1242,,13,2.5649493574615367
zays1236,Zayse,,,,zays1236,,3,1.0986122886681098
kumi1248,Tipai,,32.331,-116.604,kumi1248,,19,2.9444389791664403
yava1252,Yavapai,,,,yava1252,,10,2.302585092994046
hava1249,Havasupai,,,,hava1249,,7,1.9459101490553132
wapp1239,Wappo,,38.25,-122.5,wapp1239,,24,3.1780538303479458
nort2951,Northwest Maidu,,39.6721,-121.368,nort2951,,6,1.791759469228055
ajie1238,Ajië,,-21.3029,165.468,ajie1238,,16,2.772588722239781
savo1255,Savosavo,,-9.12853,159.814,savo1255,,25,3.2188758248682006
